Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.check,Sentiment - sarah_parents.check,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.check,Sentiment - blue_team.check,blue_team.response,Sentiment - blue_team.response,bill_holiday.check,Sentiment - bill_holiday.check,bill_holiday.response,Sentiment - bill_holiday.response,john_party.check,Sentiment - john_party.check,john_party.response,Sentiment - john_party.response,rebecca_swimming.check,Sentiment - rebecca_swimming.check,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.check,Sentiment - sally_wine.check,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.check,Sentiment - belinda_meeting.check,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.check,Sentiment - lucy_loan.check,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.check,Sentiment - michael_breakfast.check,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.check,Sentiment - sean_call.check,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
2,"Sep 11, 2020 7:46:54 am","Sep 11, 2020 7:52:14 am",Complete,,,,English,,1599824814_5f5b63aeb478a4.21186435,positive,present,5c802134433e2d00172ac5d1,0,She hasn't seen them for a few weeks,0,They aren't in,0,The blue team want to win against the red team. They're playing football,0.4136,They don't win,-0.4717,He's been working hard for months,-0.1027,He loses his passport,-0.3182,Having a dinner party,0.4019,They decide to have something else,0,Go for a swim,0,There's a storm,0,A bottle of wine,0,They didn't have the wine she wanted,0,For a business meeting,0,She got the wrong day,-0.4767,A new car,0,She gets an offer for even more money,0,To have breakfast,0,He considers doing another degree,0,Contact his mother to let her know he is safe,0.4404,The call disconnects,0,No,
3,"Sep 11, 2020 7:47:21 am","Sep 11, 2020 7:53:18 am",Complete,,,,English,,1599824841_5f5b63c9ae06b4.19607742,positive,present,5bf2f4028e5b8b00018d9b88,0,because she hasnt seen them for a while,0,parents are ran away to join the circus,0.296,red and football,0,there was no comeback,-0.296,he has been working hard for months,-0.1027,"plane crashed, death and suffering",-0.7906,dinner party ,0.4019,chopped his penis off,0,she wants to go for a swim,0,"death, pain and suffering",-0.8834,bottle of wine,0,"death, pain and suffering ",-0.8834,for a business meeting`,0,"goes to a strip club, starts a relationship with the bouncer, gets happily married ",0.5574,a car,0,a reasonable deal occured ,0,for his morning nom noms,0,"death, pain, and joyfulness",-0.5423,let his ma' know he is safe,0.4404,"death, pain and suffering ",-0.8834,No,
4,"Sep 11, 2020 7:50:08 am","Sep 11, 2020 7:57:08 am",Complete,,,,English,,1599825008_5f5b6470cf2588.26848925,positive,present,5f0f226b649b4d06a15e63b8,0,She hasn't seen them in a few weeks,0,A stranger answered the door,0,The red team and football,0,The Red team scored 4 goals in the second half.,0,He's been working hard,-0.1027,The girl he met actually called him back. ,0,Having a dinner party,0.4019,The guests all cancelled. ,-0.25,Go for a swim,0,A fish nibbled her toes,0,Wine,0,She stepped in some dog poo.,0,For a business meeting,0,The office door is locked and she can't get in. ,0,A new car,0,A bird pooed on her new car on the way home.,0,For breakfast,0,An old student friend called out of the blue,0.4939,Talk to his mum,0,He got through on a clear line!,0.4389,No,
5,"Sep 11, 2020 7:50:49 am","Sep 11, 2020 7:57:30 am",Complete,,,,English,,1599825049_5f5b649949cfe7.45042199,positive,present,5bccc1c50f10750001d7d693,0,Because she has not seen them for a few weeks. ,0,Maybe her parents are not in and that is unexpected. ,0,The blue team want to win against the red team in a football final. ,0.6249,The red team score a couple of unexpected goals meaning that they either equalise or win. ,0.5859,because he has been working hard at work for months. ,-0.1027,He is delayed on his journey home as well. ,0.0516,Having a dinner party,0.4019,He cuts his finger on the peeler,-0.296,Swim in the sea .,0,She gets stung by a jelly fish,0,A bottle of wine. ,0,The neighbour tells her something unexpected about another friend. ,0.4939,For a business meeting,0,She is at the wrong office block and is very far from where she needs to be. ,-0.7184,A new car,0,She gets more than thousands for the car. ,0,To have his breakfast,0,He found some teabags he had forgotten about,-0.2263,Call his mother to let her know he is safe. ,0.4404,His mother does not pick up the phone.,0,No,
6,"Sep 11, 2020 7:51:23 am","Sep 11, 2020 7:59:59 am",Complete,,,,English,,1599825083_5f5b64bb706b88.01178787,positive,present,5e65408fdf313c2bcfa6e24f,0,she hasn't seen them for a few weeks. ,0,Her parents aren't home. ,0,They want to win against the red team in the football final. ,0.6249,The red team managed to catch up In goals. ,0,because he has been working hard for months ,-0.1027,some of his items are missing,-0.296,they are having a dinner party ,0.4019,the guests arrive while they are still preparing the food ,0,swim in the sea ,0,a huge storm breaks out ,0.3182,A bottle of wine. ,0,she burnt her dinner ,0,for a business meeting ,0,the meeting got cancelled ,-0.25,a new car ,0,her car breaks down and looses some of its worth ,0.0772,to have his breakfast ,0,the door knocked ,0,he wants to contact his mother to let her know he is safe ,0.4404,he has called the wrong number so someone else picks up ,-0.4215,No,
7,"Sep 11, 2020 7:51:49 am","Sep 11, 2020 8:05:00 am",Complete,,,,English,,1599825109_5f5b64d569e992.94944504,positive,present,5c4b9e94ad466000019101d6,0,Because she hasn't seen them for a few weeks,0,Somebody strange opens the door,-0.2023,They want to beat the red team in the football final,0.0772,unexpectedly beaten last minute by red,-0.4215,he has been working lots for months,0,his luggage is full of other people's things  ,0,having a dinner party,0.4019,drops the potatoes on the floor,0,go swimming,0,sudden storm ,0,a bottle of wine,0,she starts getting followed ,0,for a business meeting,0,She realises the meeting is at another building,0,a new car,0,ends up getting paid millions for her old car ,0,to make some tea,0,his old university friend calls him,0.4939,contact his mother from abroad,0,he receives some bad news,-0.5423,No,
8,"Sep 11, 2020 7:51:43 am","Sep 11, 2020 8:03:54 am",Complete,,,,English,,1599825103_5f5b64cf286086.84209189,positive,present,591801345020970001c19493,0,because she hasn't seen them for a few weeks.,0,someone who isn't her parents answers the door.,0,they want to beat the red team in the football final.,0.0772,the red team suddenly score 4 goals in the second half leading to penalties,0,because he has been working hard for months.,-0.1027,bill enjoyed his holiday so much he decides to move there.,0.7184,having a dinner party.,0.4019,a bus crashes in through their front window.,0,go for a swim in the sea.,0,a shark is seen swimming around.,0,a bottle of wine.,0,her neighbour invites her round for dinner.,0,for a business meeting.,0,she has turned up on the wrong day.,-0.4767,a new car.,0,an acquaintance hears that she is selling it and offers even more than the car dealer.,0,to have breakfast.,0,Michael dropped the tea pot.,0,call his mother to let her know she is safe.,0.4404,someone snatches his mobile phone from his hands.,0,No,
9,"Sep 11, 2020 7:53:13 am","Sep 11, 2020 7:58:18 am",Complete,,,,English,,1599825193_5f5b65298b3c74.24890936,positive,present,5c27b1270091e40001ca1d1b,0,Because she has not seen them for several weeks.,0,They are out. Sarah did not call them beforehand.,0,The Blue team want to beat the red team at football.,0.0772,the red team get 5 goals after half time and win,0.5859,because he has been working hard for months,-0.1027,He forgets that he packed his passport in his suitcase on the way back,0,having a dinner party,0.4019,no one comes,-0.296,swim,0,it starts to rain,0,a bottle of wine,0,she drops the bottle of wine,0,She is going to LA for a business meeting,0,She has arrived at the wrong place.,-0.4767,a new car,0,her new car breaks down,0,to have his breakfast,0,he is out of milk,0,let his mum know that he is safe,0.4404,call went to answerphone,0,No,
10,"Sep 11, 2020 7:54:22 am","Sep 11, 2020 8:01:06 am",Complete,,,,English,,1599825262_5f5b656e28ca35.63881166,positive,present,5e1b21bd07c9c73546a11776,0,Because she hasn't seen them in a few weeks,0,Nobody answers,0,The blue team want to win against the red team and they are playing football,0.7096,The red team won,0.5719,Because he has been working hard for months,-0.1027,Bill has a holiday romance,0.743,They are having a dinner party,0.4019,John cut his finger whilst peeling the potatoes,-0.2732,Becca wants to go for a swim,0,Whilst she was swimming she got a dead leg so the lifeguard had to come and save her,-0.2732,bottle of wine,0,The neighbour decided to come and join her for Friday dinner,0.296,She is going for a business meeting,0,Nobody is at the office block for her meeting because she has the wrong address,-0.7184,A car,0,Lucy makes a lot of money by selling her car,0,To make a cup of tea,0,His electric went out so he couldn't boil the kettle,0,Sean wants to call his mum,0,His signal dropped,0,No,
11,"Sep 11, 2020 7:54:07 am","Sep 11, 2020 8:03:12 am",Complete,,,,English,,1599825247_5f5b655f6ef7a8.13694956,positive,present,5f523ba1c2e4fb4a54dc9fa0,0,She hasn't seen them for a few weeks,0,One of her parents was ill,-0.4215,They want to beat the red team at football,0.0772,The red team scored 4 goals in the second half to draw level,0,He's worked hard for a holiday,0.3182,Covid restrictions are introduced and he has to travel home early,0,Hosting a dinner party,0.4019,Their friends arrive an hour early,0.4767,She wants to go for a swim,0,the current dragged her out to sea during her swim,-0.0516,Wine,0,She tripped and smashed the bottle of wine,0,For a business meeting,0,The meeting has changed to a dial in conference call,0,a new car,0,Her new car breaks down as she leaves the garage,0,To have breakfast,0,The milk from the fridge has gone off,0,contact his mother,0,His phone dies as he makes the call,0,No,
