Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.check,Sentiment - sarah_parents.check,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.check,Sentiment - blue_team.check,blue_team.response,Sentiment - blue_team.response,bill_holiday.check,Sentiment - bill_holiday.check,bill_holiday.response,Sentiment - bill_holiday.response,john_party.check,Sentiment - john_party.check,john_party.response,Sentiment - john_party.response,rebecca_swimming.check,Sentiment - rebecca_swimming.check,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.check,Sentiment - sally_wine.check,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.check,Sentiment - belinda_meeting.check,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.check,Sentiment - lucy_loan.check,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.check,Sentiment - michael_breakfast.check,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.check,Sentiment - sean_call.check,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
1,"Sep 12, 2020 11:21:49 am","Sep 12, 2020 11:35:08 am",Complete,,,,English,https://app.surveygizmo.com/builder/test-link-proxy/id/5834697?__sgtarget=1&sLanguage=English&__sg_build_test=1&__sg_collab_test=1&__sg_tester=a2VhbmVtYXJrQG1hYy5jb20%3D&__sg_tester_name=TWFyaw%3D%3D&__sg_tester_id=725208&link_id=0&__sg_skip_actions=1&preview_frame=true,1599924109_5f5ce78d18c4c9.16542800_test,negative,absent,1.23E+23,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,No,
2,"Sep 12, 2020 11:44:42 am","Sep 12, 2020 12:05:11 pm",Complete,,,,English,,1599925481_5f5cece9e032c0.36546345,negative,absent,5e7b6d4e6817bd16806d78ae,0,"She hasn't seen them for a few weeks, so decides to visit.",0,"There was no reply when Sarah knocked on the door. Her parents had decided to go to the shops, even though they are usually at home on Saturday afternoon.",-0.148,The blue team want to win against the red team. They are playing football.,0.4136,"The blue team had a player sent off due to a refereeing mistake. The red team were able to claw a couple of goals back. The blue team lost confidence and their players were tiring. The red team scored again and, in the last minute, equalised. The match went to extra time, momentum carrying the red to victory over the demoralised blues.",-0.018,He is looking forward to the holiday because he has been working hard for months.,0.3182,"Bill, already feeling fed-up, is told that requesting a new passport will be time consuming and expensive. Then he realises the passport was in his coat pocket the whole time. He can catch his original fight, One silver lining in his disastrous trip.",-0.169633333,They are having a dinner party.,0.4019,John finds the peeler and prepares the potatoes perfectly. Problem solved... except the incident is the final straw for John. He tells his wife that he wants to divorce.,0.078333333,She wants to go for a swim in the sea.,0,"Rebecca carries on anyway, life's too short to worry. But then a shark rears up from the water. She is doomed... until a freak lightning strike hits and kills the shark.",-0.4083,A bottle of wine.,0,"At home, there is a knock on the door. The neighbour feels bad about the argument. She invites Sally in to share a bottle of wine over dinner. They make amends and have an enjoyable evening.",0.0045,She is going to LA for a business meeting.,0,The original meeting venue was closed due to an electrical fault. The meeting had to be rescheduled for a new venue... the office block which Belinda was mistakenly taken to!,-0.38075,A new car.,0,"Lucy changes her mind and decides to keep the car, putting it into the garage for the work needed to keep it roadworthy. 'Wreck' is subjective, she thinks. Some things are worth keeping!",0.098066667,He goes downstairs to eat breakfast.,0,"Michael sees a packet of coffee, a drink he has never enjoyed. He decides to try it... and really enjoys the taste. He feels cheered ahead of the day to come.",0.221533333,Contact his mother from a foreign country to tell her he is safe.,0.4404,Sean turns a corner... and sees his mother sitting outside a cafe! She had an unexpected short break from work and decided to surprise Sean by coming out to see him.,0.1366,No,
3,"Sep 12, 2020 11:46:25 am","Sep 12, 2020 11:50:11 am",Complete,,,,English,,1599925585_5f5ced515dd123.97011380,negative,absent,5e69508d30914f20a575f06d,0,She hasnt seen her parents for a few weeks,0,they wernt in,0,the read team in football,0,they came back and won,0.5719,he has been working hard for months,-0.1027,he finds his luggage,0,having a dinner party,0.4019,he finds the peeler,0,wants to go for a swim in the sea,0,it started raining,0,a bottle of wine,0,she found some,0,for a business meeting,0,she got there early,0,a new car,0,she bought it,0,to have his breakfast,0,he found teabags,0,phone his mother to let her know he is safe,0.4404,he gets signal,0,No,
4,"Sep 12, 2020 11:49:21 am","Sep 12, 2020 12:02:56 pm",Complete,,,,English,,1599925761_5f5cee01a43194.68592909,negative,absent,5877066b1ed9d10001050b9a,0,She hasn't seen them for a few weeks.,0,Her parents weren't in,0,They want to beat the Red team at football,0.0772,One of the Blue team players get sent off,0,Bill had been working hard for months.,-0.1027,His luggage finally turns up.  ,0,Having a dinner party,0.4019,They burn the dinner,0,take a swim,0,It turns out to be a sunny day,0.4215,A bottle of wine,0,Neighbour makes up with her and offers her a bottle of wine,0,For a business meeting,0,She gets lost and misses her meeting,-0.4939,A new car,0,She decides to restore her old car and not buy a new one,0.296,to have some breakfast,0,He went to the shop to buy teabags,0,Phone his mother,0,He finds a place which gives stronger signal and is able to call his mother,0.3818,No,
6,"Sep 12, 2020 11:48:49 am","Sep 12, 2020 12:21:42 pm",Complete,,,,English,,1599925729_5f5cede15a5252.01531996,negative,absent,5e08b611361a851bde3ce928,0,She hasn't seen them for 2 weeks,0,They weren't home,0,Blue Team want to win against the Red Team  The sport is football,0.6249,A key member of the team takes a nasty hit to the shins and falls to the ground. A red card is issued.,-0.2787,Bill is looking forward to his holidays because he has been working hard for months.,0.296,"A few months later, Bill is sitting down to watch the weekly lottery results as he usually does, Scruffy is warm and cosy on his lap, and up come the numbers... ",0.2263,John and his wife are having a dinner party.,0.4019,"The door bell rings. They look at eachother, it's too early for the guests. John puts down the knife and walks to the door. A police officer stands in front of him.",0,Rebecca wants to go for a swim in the sea.,0,"Determined not to waste her trip Rebecca walks round the headland to a sheltered cove, out of eye shot of the lifeguard. Thinking she must be mad to defy the lifeguard she starts to head back to the beach but finds she cannot. The tide has come right in and Rebecca is marooned. ",0.101066667,Sally wants to buy a bottle of wine for her Friday evening dinner.,0,"In her frustration she doesn't look carefully when crossing the road. The next moment, she wakes up in hospital.",-0.26885,Belinda is on the plane to a business meeting.,0,"Belinda gets back in the taxi and demands to be taken to the correct address. The taxi driver doesn't appear to be listening. He is looking out of the window up at the sky and exclaiming. Curious, Belinda open the taxi door and gets out, she can't  believe what she is seeing.",0.07955,Lucy wants to buy a new car.,0,"The car dealer, feeling sorry for Lucy, looks around  and turns to her and quietly whispers that he has this old mate of his who has a couple of cheap but decent cars to sell, and would Lucy be interested.",0.5647,Michael goes downstairs to have breakfast.,0,"The phone rings. His mother is calling him from the hospital pay phone. She is ok, but a little shaken still.",0.015933333,Sean wants to contact his mother and let her know he is safe.,0.4404,"Out of nowhere Sean is thrown to the ground, he mobile and bag both gone. Sean quickly realizes he has been robbed. He heads back to his hotel to use there phone.",0,No,
7,"Sep 12, 2020 11:50:00 am","Sep 12, 2020 12:10:21 pm",Complete,,,,English,,1599925800_5f5cee281ac800.89105150,negative,absent,5efa0eb2fce41c0c97d19210,0,She has t seen them for a few weeks,0,Somebody else answered the door,0,The red team in football,0,The red team scored 5 goals in the second half,0,He's been working hard,-0.1027,When he gets home he finds his suitcase waiting for him. At first he thinks it's his but when he opens it he finds it stuffed full of cash so he goes on another even better holiday instead!,0.4134,Having a dinner party,0.4019,"John gets in a huff, slams the pealer down and tells her to peal the bloody potatoes herself if she is that fussy. ",-0.4404,Go swimming ,0,Rebecca decides to ignore the life guard and go swimming anyway. As the weather begins to get rougher and lightning begins to light up the sky Rebecca decides to get out. ,-0.1806,Wine,0,The neighbour insults Sally to the point where she returns later that evening (having got hammered on her grandmas brandy) and rearranges his garden gnomes into the Karma Sutra positions she found in a book on her grandmas shelf. ,-0.4215,Business meeting,0,Belinda decides to make the most of the opportunity presented to her and seduces the receptionist in the stationary cupboard whilst she waits for her meeting to start. ,0.4703,A new car,0,A car parts collector happens to walk by and asks To check the serial number on some bits of her car. Turns out that several parts are worth a fortune and could make Lucy set for life. She decides she doesn't care and drives her crappy car home again. ,-0.144633333,To make a cup of tea. ,0,"Michael reminds himself to get a grip. After all, it's only a cup of tea and uni was a shag fest which more than made up for the shitty beverage  quality. ",-0.2787,Call his mum to say he safe,0.4404,"The signal makes the call break up. Instead of mum hearing he is safe she hears he's lost weight and congratulates him, making a note to return his birthday cake back to the bakery. ",0.07655,No,
8,"Sep 12, 2020 11:50:31 am","Sep 12, 2020 11:58:38 am",Complete,,,,English,,1599925831_5f5cee47d96f13.15016303,negative,absent,5df2f7674f849e20d6666704,0,She has not seen them in a few weeks ,0,They did not answer the door,0,The red team.   Football,0,It starts to rain,0,He has been working hard for months,-0.1027,Someone finds his suitcase,0,They are having a dinner party,0.4019,His wife storms out of the kitchen,0,She wants to swim in the sea,0,A shark appears in front of her,0,A bottle of wine,0,The neighbour insulted her,-0.5106,For a business meeting,0,A man falls from an office building,0,A new car,0,She wins the lottery.,0.5719,To have breakfast,0,He starts to cry,-0.4767,Contact his mother,0,The battery died,-0.5574,No,
9,"Sep 12, 2020 11:50:52 am","Sep 12, 2020 12:08:11 pm",Complete,,,,English,,1599925852_5f5cee5c0422b7.33304047,negative,absent,5e5254e98564972649a270c2,0,Sarah decides to visit her parents as she hasn't seen them in a few weeks. ,0,"Possibilities are endless, someone different/unexpected opened the door. Her parents were not in. The door was open. ",0,The blue team want to win against the Red Team. The sport they are playing is football. ,0.4136,They lost the game despite their drive to win and their advantage of four goals before half -time. Or the final was postponed due to bad weather. ,-0.05315,"Bill is looking forward to his holidays, as he has been working hard for months. ",0.296,Bill's luggage was lost causing him to have a terrible time. ,-0.6597,John and his wife are having a dinner party. ,0.4019,"John and his wife get into an argument, due to the peeler being lost. The party is cancelled.",-0.204,Rebecca wants to swim in the sea at the beach. ,0,"Rebecca is informed by the lifeguard that it is unsafe to swim, due to bad weather. ",-0.5423,Sally wanted to buy a bottle of wine for her Friday evening dinner. ,0,She got into a argument with her neighbour and was unable to buy wine. ,-0.3612,Belinda is in Los Angeles for a business meeting.,0,Belinda's taxi took her to the wrong office block and she is too early for her meeting. ,-0.7184,Lucy wants to buy a new car.,0,She kept her car because of sentimental reason. ,0.3182,Michael goes downstairs to have breakfast.,0,He found a tea bag behind a container and had a cup of tea. ,0,Sean wants to phone his mother to let her know he is safe. ,0.4404,"The network signal is weak, leading to Sean being anxious about being able to contact his mother. ",-0.5994,Yes,
10,"Sep 12, 2020 11:51:52 am","Sep 12, 2020 11:58:49 am",Complete,,,,English,,1599925912_5f5cee988b2663.03293242,negative,absent,5e176ae1096a5e065c70a28b,0,because she hunt seen them in a few weeks,0,they weren't in,0,the red team in football,0,they lost,-0.3182,he has been working hard for months,-0.1027,one of the wedding party had the luggage the whole time,0.4019,having a dinner party,0.4019,he found the peeler,0,swim in the sea,0,she decided to swim anyway,0,a bottle of wine,0,the neighbour makes her too upset so she doesn't have dinner,-0.3818,a business meeting,0,the meeting was cancelled,-0.25,a new car,0,she doesn't need to sell it anymore,0,to have breakfast,0,he found the tea bags,0,contact his mother to let her know he is safe,0.4404,she turns up ,0,No,
11,"Sep 12, 2020 11:52:14 am","Sep 12, 2020 11:58:27 am",Complete,,,,English,,1599925934_5f5ceeaec570b5.85743875,negative,absent,5b5f23420085cb0001872849,0,She hasn't seen them for a few weeks.,0,There was nobody home.,0,They want to win against the Red Team. They are playing football.,0.4136,The red team ends up winning.,0.5267,He has been working hard for months.,-0.1027,His luggage is found.,0,They are having a dinner party.,0.4019,He drops the potatoes.,0,Go for a swim in the sea.,0,A big wave comes.,0,A bottle of wine.,0,A car splashes her.,0,For a business meeting.,0,A bird poops on her.,0,A new car.,0,She wins the lottery.,0.5719,To have his breakfast.,0,His pot breaks.,0,Contact his mother to let her know he is safe.,0.4404,His phone breaks.,0,No,
