Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.check,Sentiment - sarah_parents.check,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.check,Sentiment - blue_team.check,blue_team.response,Sentiment - blue_team.response,bill_holiday.check,Sentiment - bill_holiday.check,bill_holiday.response,Sentiment - bill_holiday.response,john_party.check,Sentiment - john_party.check,john_party.response,Sentiment - john_party.response,rebecca_swimming.check,Sentiment - rebecca_swimming.check,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.check,Sentiment - sally_wine.check,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.check,Sentiment - belinda_meeting.check,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.check,Sentiment - lucy_loan.check,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.check,Sentiment - michael_breakfast.check,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.check,Sentiment - sean_call.check,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
1,"Sep 11, 2020 2:26:58 pm","Sep 11, 2020 2:40:50 pm",Complete,,,,English,,1599848818_5f5bc172d0c120.98838864,negative,present,5b9588a921e7200001f59638,0,Sarah decides to visit her parents because he hasn't seen them for a few weeks.,0,The parents weren't home.,0,The blue team want to win against the Red team in football.,0.6249,The Red team scored several quick goals.,0,Bill is looking forward to his summer holiday because he has been working hard.,0.3182,His passport was missing.,-0.296,John and his wife are having a dinner party that evening.,0.4019,Johns wife takes over.,0,Rebecca want to swim at the beach.,0.0772,The tide pulls her.,0,Sally wants to buy a bottle of wine.,0,Sally doesn't buy her wine and goes back home.,0,Belinda is going to Los Angeles for a business meeting.,0,Belinda asks the taxi driver to drive around the block.,-0.4404,Lucy wants to buy a new car.,0,The bank refuses her loan.,0,Michael goes downstairs because is breakfast is ready.,0.3612,Unsure.,-0.25,Sean wants to call his mother to let her know he is safe.,0.4404,The signal goes.,0,No,
3,"Sep 11, 2020 2:29:02 pm","Sep 11, 2020 2:37:33 pm",Complete,,,,English,,1599848942_5f5bc1ee5b0c73.27485616,negative,present,5cd02c98ec9cad001834e76a,0,She hasn't seen them in a while,0,An old friend answers the door instead of her parents,0.4939,The red team at football,0,The red team make an epic comeback and win the game 5-4,0.5859,He has been working hard recently,-0.1027,"When his luggage arrives, he realises it is still the wrong case, however this one is full of valuable items.",0,having a dinner party,0.4019,They have an argument and end up ruining their own dinner party,-0.2023,Swim in the sea,0,A huge wave knocks rebecca over,0.3182,a bottle of wine,0,Sally drops her bottle of wine whilst distracted by her neighbour,-0.34,for a business meeting,0,She takes a walk down the street and bumps in to a famous moviestar,0,A new car,0,Lucy is offered so much for her car that she doesn't need the bank loan,0,To have breakfast,0,Michael felt depressed by his unhappy memories and decides to go back to bed.,-0.7269,Ring his mother,0,His mother rings him whilst his phone is in his hand,0.4939,No,
4,"Sep 11, 2020 2:31:51 pm","Sep 11, 2020 2:45:37 pm",Complete,,,,English,,1599849111_5f5bc2978a4c36.08165653,negative,present,5f47d4ac5db4230d1d4a41b2,0,She hasn't seen them for a few weeks.,0,They were not in?,0,Red team and they are playing football.,0.2023,They got a player sent off.,0,He has working a lot.,0,Bill is suspected of spying and is held by the authorities.,-0.2263,Having a dinner party,0.4019,They get into a fight.,-0.3818,Go for a swim.,0,A large yacht appears in the bay it is deserted.,0,A bottle of wine.,0,During the argument the neighbour pushes Sally. Sally pushes back and the neighbour falls into the path of an oncoming vehicle.,-0.1806,For a business meeting.,0,She is early and can't get into the venue. She gets frustrated and shouts at the taxi driver who calls the cops.,-0.26335,A car.,0,She has an accident and the car is scraped.,-0.4767,To make breakfast,0,"Michaels flashback brought back a memory that he had suppressed and he had a panic attack, fainted and woke up minutes later in the floor.",-0.7506,Call his mother.,0,Someone steals his phone and runs away. Sean begins to give chase......,-0.2553,No,
5,"Sep 11, 2020 2:32:01 pm","Sep 11, 2020 2:39:02 pm",Complete,,,,English,,1599849121_5f5bc2a1c61665.48567357,negative,present,5f0098df68eebf076ed649a4,0,Lovely day in spring ,0.5859,Nobody was home,0,The red team. Football ,0,The blue team lost ,-0.3182,He's worked hard ,-0.1027,He got robbed ,0,Making dinner ,0,He throws the peeler at his wife,0,Swim ,0,She drowned ,-0.5994,Bottle of wine ,0,She argued with the neighbour over loud noise ,-0.3612,Business meeting ,0,She was early ,0,A new car,0,She crashed the car ,0,To make tea ,0,He had bad memories of having no money ,-0.6908,Contact his mother ,0,He couldn't get through ,0,No,
6,"Sep 11, 2020 2:32:45 pm","Sep 11, 2020 2:42:27 pm",Complete,,,,English,,1599849165_5f5bc2cd6931e3.59135886,negative,present,5ac888369534ba0001c763e1,0,She has not seen them for a few weeks and would like to see them,0.3612,Nobody is there,0,Because they want to win as its the final for the football,0.6249,The second half the red team made a come back,0,He has been working hard for months to pay for,-0.2023,He meets someone and falls in love,0.6369,Having a dinner party,0.4019,He tidies up,0,Go for a swim,0,The weather changes ,0,A bottle of wine,0,She gets in a huff and goes home without the wine,0,For a business meeting,0,Nobody else is there,0,A new car,0,She decides to keep the car,0,To have his breakfast,0,Haven't a clue,0,Talk to his mother as he is in a foreign country and let her know he is safe,0.4404,The signal drops out,0,No,
7,"Sep 11, 2020 2:33:16 pm","Sep 11, 2020 2:54:08 pm",Complete,,,,English,,1599849196_5f5bc2eca81b85.66670942,negative,present,57719c19b425c40001433b1f,0,she hasn't seen them in quite a while,0,someone she doesnt recognise answers the door,0,the red team in football,0,the red team manage to get 5 goals in the second half,0,because hed been working hard for months,-0.1027,he comes home feeling sad about his holiday only for something worse to happen. his home is flooded and a disaster zone when he gets home,-0.54185,they are having a dinner party,0.4019,he manages to peel his finger and blood splirts everywhere,0,she wants to swim in the sea,0,a whale appears while she swims in the sea,0,a bottle of wine,0,the neighbour goes to punch her but misses,-0.3291,for a business meeting,0,"then she gets a phone call, her boss is calling and she mistook the time of the meeting , she is actually really late",0,a new car,0,someone who loves classic cars contacts her and offers to restore the car for her,0.7096,to have his breakfast,0,bang! someone breaks in through the back door. its a robbery,0,he wants to contact his mother,0,he has decided to stay long term in the foreign country and he knows his mum will be shocked,-0.3182,No,
8,"Sep 11, 2020 2:33:58 pm","Sep 11, 2020 2:41:36 pm",Complete,,,,English,,1599849238_5f5bc316ca4fc5.78672144,negative,present,56d1f9597bbc32000589a58d,0,she hadn't seen them for a few weeks,0,Someone she didn't know answered the door,0,The red team at football,0,a rabbit ran across the pitch,0,he has been working hard for months,-0.1027,He got a tummy upset and felt poorly,-0.3818,having a dinner party,0.4019,the dog ran off with the meat for dinner,0,go for a swim in the sea,0,It started to hail,0.0772,a bottle of wine,0,she falls over and breaks the bottle of wine,0,for a business meeting,0,she saw a famous person walk past,0,a new car,0,she gets offered a large sum of money for it,0,to have breakfast,0,he got a letter in the post from an old friend,0.4939,phone his mother,0,somebody bumped in to Sean and he dropped his phone,0,No,
9,"Sep 11, 2020 2:34:41 pm","Sep 11, 2020 3:01:37 pm",Complete,,,,English,,1599849281_5f5bc341b55a39.80856004,negative,present,5f219d5c62e3b6591773267f,0,Because she hasn't seen them for a few weeks,0,Someone different answered the front door. Another family member she perhaps wasn't expecting to be at her parent's home. ,0,The blue team want to win against the red team in football. ,0.6249,"Just before they kick off for the second half, full of excitement the blue team's mascot dressed in a rabbit costume comes running onto the pitch wearing nothing but his head piece. He's streaking across the pitch. He's drunk again and the match is on hold whilst they're chasing the mascot around the field. ",-0.022266667,working hard for months,-0.1027,"When he opens his suitcase, he finds someone else's things in his case. He's having a rotten time, he hated the flight, he's scared of flying. His luggage was delayed and now he has the wrong case?! how can this be? After liaising with the airline, he finds the person who has taken his case. It's the woman of his dreams. Maybe this holiday wasn't so terrible after all.",-0.066328571,Having a dinner party,0.4019,"His wife then grabs the potatoes and throws them in the bin. This seems a bit erratic, potatoes are still potatoes after all. ",0,Go for a swim in the sea,0,As Rebecca is about to step into the sea she notices what looks like a shark fin in the sea. She thinks she must of mistaken what she saw so she keeps walking. She see's it again. She's not confident the water is safe so she turns around to the lifeguard to point it out but the lifeguards mouth is wide open in panic. It IS a shark. ,-0.13002,A bottle of wine,0,Sally wouldn't dare waste the bottle of wine she's just bought - it's far too valuable. But the pack of eggs she also bought however.... well she doesn't mind using a few of those to egg the neighbours front door. ,0.4682,A business meeting ,0,"Her boss comes running out of the front door in a fluster, looking around, as Belinda gets out of the taxi he recognises her and comes running over. He's panicking because his company laptop has died and he doesn't have a charger with him and so wouldn't be able to host the presentation part of the meeting as planned. He was just about to rush around and try and find a charger to buy but luckily Belinda always comes prepared and has her own. ",0.0068,A new car,0,"Whilst looking around the dealership someone spots her car and approaches her and asks how much she's selling it on for. She replies she isn't. Her phone is ringing it and when she answers it, it's the bank calling back to say she's not eligible for a loan. She's now in a position where she's unable to buy a new car until she bites the bullet and lets her old car go - sentimental reasons and all. ",0.07955,Have breakfast,0,He turns to get the milk out and finds the fridge door open. Everything is off. He can't have tea this morning. The cat has pulled the chicken out and looks very proud of himself for having a feast. ,0.1314,Let his mother know he is safe,0.4404,"Someone comes running up to him and snatches his phone straight from his hand. Great! He doesn't know his mother's number off by heart, he couldn't even call her from another phone if he wanted to! Now she'll panic and he regrets feelings so anxious about speaking with her. ",0.1597,No,
10,"Sep 11, 2020 2:35:30 pm","Sep 11, 2020 2:53:35 pm",Complete,,,,English,,1599849330_5f5bc3727e99a8.34376137,negative,present,5f243136d49d850136696693,0,Sarah decided to visit her parents because she hasn't seen them for a few weeks.,0,I think her parents aren't home.,0,the Blue Team wants to win against the Red Team in a football game.,0.5859,The Red team wins.,0.5719,Bill is looking forward to his holidays because he was working hard for months.,0.296,He has more fun at work than he did on his holiday.,0.7425,John and his wife are having a dinner party that evening.,0.4019,The recipe calls for potato peels.,0,Rebecca wants to go for a swim in the sea.,0,The weather clears up after she leaves.,0.0772,Sally wants to buy a bottle of wine.,0,Her neighbor bought the last bottle of wine as an apology gift to her.,0.4767,Belinda is going to Los Angeles for a business meeting.,0,The meeting was cancelled.,-0.25,Lucy wants to buy a new car.,0,Her neighbor buys her old car.,0,Michael went downstairs to have his breakfast.,0,He forgot to put water in the kettle.,0,Sean wants to contact his mother to let her know he is safe.,0.4404,His mother is on holiday in the same country.,0.4019,No,
11,"Sep 11, 2020 2:35:57 pm","Sep 11, 2020 2:46:03 pm",Complete,,,,English,,1599849357_5f5bc38d66f487.05210665,negative,present,57bdd76370808a00012d9829,0,because she hasnt seen them for a few weeks ,0,they're not there to open the door ,0,against the red team in football ,0,the red team come back to win 5-4,0.5859,because he can have a break from work ,0,his  passport is not in his luggage ,0,a dinner party ,0.4019,tells his wife to go have a bath and he will finish dinner ,0,go for a swim ,0,a huge storm came ,0.3182,a bottle of wine ,0,her neighbour turns up with some chocolates to appologize ,0,a meeting ,0,the driver says no charge ,-0.296,a new car ,0,she wins a new car instead and gets to keep her old car,0.5719,to have his breakfast ,0,a genie appeared from the pot of tea when he rubbed it ,0,contact his mother,0,she was very upset as he didnt tell her he was going to a different country ,-0.4391,No,
